"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rankhambe D.; Ainapure B.S.; Appasani B.; Jha A.V.","Rankhambe, Devika (57479297900); Ainapure, Bharati Sanjay (55575963200); Appasani, Bhargav (55972668400); Jha, Amitkumar V. (57206243573)","57479297900; 55575963200; 55972668400; 57206243573","A Flower Pollination Algorithm-Optimized Wavelet Transform and Deep CNN for Analyzing Binaural Beats and Anxiety","2024","AI (Switzerland)","5","1","","115","135","20","0","10.3390/ai5010007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188682490&doi=10.3390%2fai5010007&partnerID=40&md5=56c8c54ffd1812afae5d0a6014e94ac3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188682490"
"Yadav H.; Maini S.","Yadav, Hitesh (58195893600); Maini, Surita (54999832100)","58195893600; 54999832100","Electroencephalogram based brain-computer interface: Applications, challenges, and opportunities","2023","Multimedia Tools and Applications","82","30","","47003","47047","44","8","10.1007/s11042-023-15653-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157969006&doi=10.1007%2fs11042-023-15653-x&partnerID=40&md5=a0d8f9ac4a1d2d800890d2cfb89f1e39","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85157969006"
"Cepeda-Zapata L.K.; Corona-González C.E.; Alonso-Valerdi L.M.; Ibarra-Zarate D.I.","Cepeda-Zapata, Luis Kevin (57213608242); Corona-González, César E. (57359711900); Alonso-Valerdi, Luz María (49962954800); Ibarra-Zarate, David I. (55234023500)","57213608242; 57359711900; 49962954800; 55234023500","Binaural Beat Effects on Attention: A Study Based on the Oddball Paradigm","2023","Brain Topography","36","5","","671","685","14","1","10.1007/s10548-023-00990-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165665904&doi=10.1007%2fs10548-023-00990-9&partnerID=40&md5=2ae048b9b580d315d6dad00665c79ad3","Article","Final","","Scopus","2-s2.0-85165665904"
"Li R.; Xu M.; You J.; Zhou X.; Meng J.; Xiao X.; Jung T.-P.; Ming D.","Li, Rong (57219008461); Xu, Minpeng (37076397600); You, Jia (57224675493); Zhou, Xiaoyu (57213589803); Meng, Jiayuan (56808642200); Xiao, Xiaolin (56647294100); Jung, Tzyy-Ping (7201389395); Ming, Dong (58026507100)","57219008461; 37076397600; 57224675493; 57213589803; 56808642200; 56647294100; 7201389395; 58026507100","Modulation of rhythmic visual stimulation on left–right attentional asymmetry","2023","Frontiers in Neuroscience","17","","1156890","","","","0","10.3389/fnins.2023.1156890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160029961&doi=10.3389%2ffnins.2023.1156890&partnerID=40&md5=fb90537f2d719ca7f019e3d15751ec6e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160029961"
"Liu Y.; Hou Y.; Quan H.; Zhao D.; Zhao J.; Cao B.; Pang Y.; Chen H.; Lei X.; Yuan H.","Liu, Yong (57201032379); Hou, Yi (58079529300); Quan, Huan (57209778801); Zhao, Dongfang (58078268300); Zhao, Jia (57191637468); Cao, Bing (56681709500); Pang, Yazhi (57870839700); Chen, Hong (57214474301); Lei, Xu (15846129100); Yuan, Hong (54789365700)","57201032379; 58079529300; 57209778801; 58078268300; 57191637468; 56681709500; 57870839700; 57214474301; 15846129100; 54789365700","Mindfulness Training Improves Attention: Evidence from Behavioral and Event-related Potential Analyses","2023","Brain Topography","36","2","","243","254","11","3","10.1007/s10548-023-00938-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146839997&doi=10.1007%2fs10548-023-00938-z&partnerID=40&md5=5b0d464b3dce01142dafab45eb13ec20","Article","Final","","Scopus","2-s2.0-85146839997"
"Kauser H.; Ahluwalia H.","Kauser, Hina (7801447318); Ahluwalia, Himani (57045675700)","7801447318; 57045675700","Effect of Rhythmic Auditory Stimulation on Sleep and Cognition in College Students","2024","Sleep and Vigilance","8","1","","65","70","5","0","10.1007/s41782-023-00254-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180472046&doi=10.1007%2fs41782-023-00254-3&partnerID=40&md5=216de72540b3cdd2b2a74b94698a977c","Article","Final","","Scopus","2-s2.0-85180472046"
"Friedman R.S.; Kowalewski D.A.","Friedman, Ronald S (24467793000); Kowalewski, Douglas A (57212061089)","24467793000; 57212061089","Interactive effects of presentation mode and pitch register on simultaneous consonance","2024","Musicae Scientiae","","","","","","","0","10.1177/10298649241255693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196374302&doi=10.1177%2f10298649241255693&partnerID=40&md5=ea28521e08211d418fe6911b835edfbc","Article","Article in press","","Scopus","2-s2.0-85196374302"
"Yuk K.; Lim J.; Moon H.Y.","Yuk, Kihoon (58079229200); Lim, Jawon (59295740100); Moon, Hyo Youl (59295740200)","58079229200; 59295740100; 59295740200","Comparing the effects of resistance and aerobic exercise on mood-related symptoms and EEG activity in young healthy adults: A non-randomized pilot study","2024","Mental Health and Physical Activity","27","","100626","","","","0","10.1016/j.mhpa.2024.100626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201917632&doi=10.1016%2fj.mhpa.2024.100626&partnerID=40&md5=75cf3992cfb44e6ee24eaee2cb799197","Article","Final","","Scopus","2-s2.0-85201917632"
"İlhan B.; Kurt S.; Ungan P.","İlhan, Barkın (6507962831); Kurt, Saliha (58368163900); Ungan, Pekcan (6701562334)","6507962831; 58368163900; 6701562334","Auditory cortical responses to abrupt lateralization shifts do not reflect the activity of hemifield-specific units involved in opponent coding of auditory space","2023","Neuropsychologia","188","","108629","","","","0","10.1016/j.neuropsychologia.2023.108629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163175781&doi=10.1016%2fj.neuropsychologia.2023.108629&partnerID=40&md5=31685fac3fc7234abe665510a1b9b87a","Article","Final","","Scopus","2-s2.0-85163175781"
"Xiao X.; Chen W.; Zhang X.","Xiao, Xiang (58286547900); Chen, Wenyi (58287276800); Zhang, Xiaoying (57190404111)","58286547900; 58287276800; 57190404111","The effect and mechanisms of music therapy on the autonomic nervous system and brain networks of patients of minimal conscious states: a randomized controlled trial","2023","Frontiers in Neuroscience","17","","1182181","","","","5","10.3389/fnins.2023.1182181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160060568&doi=10.3389%2ffnins.2023.1182181&partnerID=40&md5=f7c2edd9d17388dffc17301d81294b96","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160060568"
"Erat K.; Şahin E.B.; Doğan F.; Merdanoğlu N.; Akcakaya A.; Durdu P.O.","Erat, Kübra (57215329603); Şahin, Elif Bilge (58914791400); Doğan, Furkan (58915270100); Merdanoğlu, Nur (57209979485); Akcakaya, Ahmet (58915270200); Durdu, Pınar Onay (33167543000)","57215329603; 58914791400; 58915270100; 57209979485; 58915270200; 33167543000","Emotion recognition with EEG-based brain-computer interfaces: a systematic literature review","2024","Multimedia Tools and Applications","83","33","","79647","79694","47","0","10.1007/s11042-024-18259-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186412474&doi=10.1007%2fs11042-024-18259-z&partnerID=40&md5=da6a586436c707ff0124ec5644173527","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186412474"
"Angkan P.; Behinaein B.; Mahmud Z.; Bhatti A.; Rodenburg D.; Hungler P.; Etemad A.","Angkan, Prithila (58202785400); Behinaein, Behnam (55205962500); Mahmud, Zunayed (57384859700); Bhatti, Anubhav (57232206300); Rodenburg, Dirk (6504123259); Hungler, Paul (26658455200); Etemad, Ali (34871722600)","58202785400; 55205962500; 57384859700; 57232206300; 6504123259; 26658455200; 34871722600","Multimodal Brain-Computer Interface for In-Vehicle Driver Cognitive Load Measurement: Dataset and Baselines","2024","IEEE Transactions on Intelligent Transportation Systems","25","6","","5949","5964","15","3","10.1109/TITS.2023.3345846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182370013&doi=10.1109%2fTITS.2023.3345846&partnerID=40&md5=abb0985a59a97c0a9d3e94f7e79af5ed","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85182370013"
"Honda C.T.; Clayards M.; Baum S.R.","Honda, Claire T. (57200862147); Clayards, Meghan (24390461300); Baum, Shari R. (7202092168)","57200862147; 24390461300; 7202092168","Individual differences in the consistency of neural and behavioural responses to speech sounds","2024","Brain Research","1845","","149208","","","","0","10.1016/j.brainres.2024.149208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202916803&doi=10.1016%2fj.brainres.2024.149208&partnerID=40&md5=8a91f13add12584d8b2a263846251895","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202916803"
"Dos Anjos T.; Di Rienzo F.; Benoit C.-E.; Daligault S.; Guillot A.","Dos Anjos, Typhanie (58131338000); Di Rienzo, Franck (55353737500); Benoit, Charles-Etienne (36570031700); Daligault, Sebastien (36476011800); Guillot, Aymeric (7003423136)","58131338000; 55353737500; 36570031700; 36476011800; 7003423136","Brain wave modulation and EEG power changes during auditory beats stimulation","2024","Neuroscience","554","","","156","166","10","0","10.1016/j.neuroscience.2024.07.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199173072&doi=10.1016%2fj.neuroscience.2024.07.014&partnerID=40&md5=2f70ebedd453104afe64224984e0bebd","Article","Final","","Scopus","2-s2.0-85199173072"
"Sahu M.; Ambasta R.K.; Das S.R.; Mishra M.K.; Shanker A.; Kumar P.","Sahu, Mehar (57222668108); Ambasta, Rashmi K. (6508198706); Das, Suman R. (8951325200); Mishra, Manoj K. (56357222900); Shanker, Anil (7005388954); Kumar, Pravir (14831447800)","57222668108; 6508198706; 8951325200; 56357222900; 7005388954; 14831447800","Harnessing Brainwave Entrainment: A Non-invasive Strategy To Alleviate Neurological Disorder Symptoms","2024","Ageing Research Reviews","101","","102547","","","","0","10.1016/j.arr.2024.102547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206873445&doi=10.1016%2fj.arr.2024.102547&partnerID=40&md5=8298a9a45070444b8b589e8e795d8eb5","Review","Final","","Scopus","2-s2.0-85206873445"
"Huang J.; Huang X.; Peng Y.; Hu L.","Huang, Jing (56413174000); Huang, Xinyu (58957326800); Peng, Yang (57722621900); Hu, Lin (55375336000)","56413174000; 58957326800; 57722621900; 55375336000","Driver state recognition with physiological signals: Based on deep feature fusion and feature selection techniques","2024","Biomedical Signal Processing and Control","93","","106204","","","","2","10.1016/j.bspc.2024.106204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188699589&doi=10.1016%2fj.bspc.2024.106204&partnerID=40&md5=86eb1a63f9b7caa3be5b9c93480e68c4","Article","Final","","Scopus","2-s2.0-85188699589"
"Yokota Y.; Tanaka K.; Chang M.; Naruse Y.; Imamura Y.; Fujii S.","Yokota, Yusuke (57932939100); Tanaka, Kenta (58616853800); Chang, Ming (58838097400); Naruse, Yasushi (14123705900); Imamura, Yasuhiko (58165536900); Fujii, Shinya (57189705002)","57932939100; 58616853800; 58838097400; 14123705900; 58165536900; 57189705002","Gamma music: a new acoustic stimulus for gamma-frequency auditory steady-state response","2023","Frontiers in Human Neuroscience","17","","1287018","","","","1","10.3389/fnhum.2023.1287018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183023618&doi=10.3389%2ffnhum.2023.1287018&partnerID=40&md5=1bd1b4134256cb69548e708d1c2b0657","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183023618"
"Li H.; Li H.; Ma L.; Polina D.","Li, Hongwei (57218653350); Li, Haifeng (57004064400); Ma, Lin (57212379038); Polina, Diokova (58977036200)","57218653350; 57004064400; 57212379038; 58977036200","Revealing brain’s cognitive process deeply: a study of the consistent EEG patterns of audio-visual perceptual holistic","2024","Frontiers in Human Neuroscience","18","","1377233","","","","0","10.3389/fnhum.2024.1377233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189862425&doi=10.3389%2ffnhum.2024.1377233&partnerID=40&md5=5eb52f26d19c5ac083caa008d32ae16e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189862425"
"Luo C.; Gao Y.; Fan J.; Liu Y.; Yu Y.; Zhang X.","Luo, Cheng (26324947200); Gao, Yayue (54399822700); Fan, Jianing (58283809500); Liu, Yang (58283809600); Yu, Yonglin (55559599100); Zhang, Xin (59074241000)","26324947200; 54399822700; 58283809500; 58283809600; 55559599100; 59074241000","Compromised word-level neural tracking in the high-gamma band for children with attention deficit hyperactivity disorder","2023","Frontiers in Human Neuroscience","17","","1174720","","","","2","10.3389/fnhum.2023.1174720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159865159&doi=10.3389%2ffnhum.2023.1174720&partnerID=40&md5=df8d8d1c45c17c8978b97401b700e59c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159865159"
"Kanzler S.A.; Cidral-Filho F.J.; Kuerten B.; Prediger R.D.","Kanzler, Sandro A. (59390874700); Cidral-Filho, Francisco J. (51664645100); Kuerten, Beatriz (59390574300); Prediger, Rui Daniel (8507563600)","59390874700; 51664645100; 59390574300; 8507563600","Effects of acoustic neurostimulation in healthy adults on symptoms of depression, anxiety, stress and sleep quality: a randomized clinical study","2023","Exploration of Neuroprotective Therapy","3","6","","481","496","15","1","10.37349/ent.2023.00064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207846669&doi=10.37349%2fent.2023.00064&partnerID=40&md5=b40ccfacd251dfc22d311860a6a53a48","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207846669"
"Gantt M.A.","Gantt, Melisa A. (57194781711)","57194781711","Study protocol to support the development of an all-night binaural beat frequency audio program to entrain sleep","2023","Frontiers in Neurology","14","","1024726","","","","1","10.3389/fneur.2023.1024726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147748541&doi=10.3389%2ffneur.2023.1024726&partnerID=40&md5=82139d728596b18721ccff238308c257","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147748541"
"Basu S.; Phogat R.; Jartarkar M.; Banerjee B.; Parmananda P.","Basu, Sandhya (57218375415); Phogat, Richa (37015757300); Jartarkar, Mayur (57196189900); Banerjee, Bidisha (57195948744); Parmananda, Punit (14519836900)","57218375415; 37015757300; 57196189900; 57195948744; 14519836900","Role of visual brainwave entrainment on the resting state brainwaves of children with and without attention-deficit/hyperactivity disorder","2024","Applied Neuropsychology: Child","","","","","","","0","10.1080/21622965.2024.2377656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198332824&doi=10.1080%2f21622965.2024.2377656&partnerID=40&md5=183fc1b188ec970e79411279ba2649f6","Article","Article in press","","Scopus","2-s2.0-85198332824"
"Costa M.; Visentin C.; Occhionero M.; Tonetti L.; Prodi N.; Natale V.","Costa, Marco (57207343704); Visentin, Chiara (36629365600); Occhionero, Miranda (7004003435); Tonetti, Lorenzo (15623453500); Prodi, Nicola (6602826940); Natale, Vincenzo (13605094000)","57207343704; 36629365600; 7004003435; 15623453500; 6602826940; 13605094000","Pentatonic sequences and monaural beats to facilitate relaxation: an EEG study","2024","Frontiers in Psychology","15","","1369485","","","","0","10.3389/fpsyg.2024.1369485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191724500&doi=10.3389%2ffpsyg.2024.1369485&partnerID=40&md5=e310335f323f7c7cf89ac57a72120bb6","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85191724500"
"Tuckute G.; Feather J.; Boebinger D.; McDermott J.H.","Tuckute, Greta (57208543175); Feather, Jenelle (56810941900); Boebinger, Dana (56451128000); McDermott, Josh H. (7202518254)","57208543175; 56810941900; 56451128000; 7202518254","Many but not all deep neural network audio models capture brain responses and exhibit correspondence between model stages and brain regions","2023","PLoS Biology","21","12","","","","","6","10.1371/journal.pbio.3002366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179641760&doi=10.1371%2fjournal.pbio.3002366&partnerID=40&md5=b689f7792208680c599a389d1490078e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179641760"
"Mirmohamadi S.; Norozpour Y.; Zarrabian S.","Mirmohamadi, Seyedmohamad (59161729600); Norozpour, Yaser (57189689749); Zarrabian, Shahram (57076557800)","59161729600; 57189689749; 57076557800","A Review of Binaural Bates and the Brain","2024","Basic and Clinical Neuroscience","15","2","","133","146","13","0","10.32598/bcn.2022.1406.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195281837&doi=10.32598%2fbcn.2022.1406.2&partnerID=40&md5=dce0b0d66723750dc63de8e9859f7f91","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85195281837"
